UDID,canonical url,Overtitle,Main Title,Description,Entry Point,Relevant IP right,Estimate Cost,Estimated Effort,Resolution Rate,Archectype 
D1017,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-new-or-amended-patent,Patent opposition,Challenge a new or amended patent,Initiate a challenge to the validity of a new patent with IP Australia,"""Enforcement"", ""Proactive"" ","""Patent""","$5,000-$50,000+ in legal fees",Months to years,<1% of patents are opposed,Government Service
C1010,https://ipfirstresponse.ipaustralia.gov.au/options/inform-online-platforms-you-have-ip-rights,e-commerce registeries ,Inform online platforms that you have IP rights,"Register your IP with online platforms to access their enforcement tools.
","""Proactive""","""Trade mark"", ""Design"", ""PBR"", ""Copyright"", ""Patent""",Free,Hours,Not applicable,Commercial Third Party Service
B1000,https://ipfirstresponse.ipaustralia.gov.au/options/receiving-letter-demand,Letter of demand,Receiving a letter of demand ,Understanding what you can do when you receive a letter of demand / cease and desist.  ,"""Accused"", ","""Any dispute""",Variable,Days,Not applicable,Self-Help Strategy
B1001,https://ipfirstresponse.ipaustralia.gov.au/options/choose-not-respond-immediately,Gauge the situation  ,Choose not to respond immediately ,When to delay responding to groundless IP infringement claims and how to gather evidence for future defence.," ""Accused""","""Any dispute""","Free, plus optional professional fees",Days,Not applicable,Self-Help Strategy
B1003,https://ipfirstresponse.ipaustralia.gov.au/options/pause-use-contested-ip-until-resolution,De-escalate,Pause use of contested IP until resolution,Evaluate the accuser’s demands and consider stopping use of the contested IP to avoid escalation.,"""Accused""","""Any dispute""",Variable,Days to weeks+,Variable,Self-Help Strategy
B1004,https://ipfirstresponse.ipaustralia.gov.au/options/obtain-legal-advice-accusation-infringement,IP attorney or lawyer  ,Obtain legal advice on an accusation of infringment,Seek expert advice on how to respond to allegations of IP infringement ," ""Accused"" ","""Any dispute""","$500 - $2,000 per hour",Days to weeks+,Variable,Commercial Third Party Service
B1005,https://ipfirstresponse.ipaustralia.gov.au/options/register-your-trade-mark,Apply for a trade mark,Register your trade mark,Apply to IP Australia for a registered trade mark to secure exclusive rights to your brand  to reinforce your defence.,"""Accused""","""Trade mark""",  $330 per class,Hours (to apply),Approximately 75% of trade mark applications achieve registration ,Government Service
D1019,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-granted-patent,Patent re-examination,Challenge a granted patent,"Request a re-examination with IP Australia, to revoke or amend a granted patent","""Enforcement"", ""Proactive""","""Patent""","$800, plus any legal fees",Days (to request),<1% of patents are subject to re-examination,Government Service
B1006,https://ipfirstresponse.ipaustralia.gov.au/options/respond-opposition-filed-against-your-trade-mark,Opposition process,Respond to an opposition filed against your trade mark,How to respond when someone has opposed your trade mark application,"""Accused""","""Trade mark"", ""Unregistered-tm""","$650+, plus legal fees",Weeks to months,1-3% of trade marks are opposed,Government Service
B1007,https://ipfirstresponse.ipaustralia.gov.au/options/respond-opposition-filed-against-your-patent,Opposition process,Respond to an opposition filed against your patent,How to respond when someone has opposed your patent application,"""Accused""","""Patent""","$1,200+, plus legal fees",Weeks to months,IP Australia’s published 54 decisions in 2024 and 66 decisions in 2023.,Government Service
C1014,https://ipfirstresponse.ipaustralia.gov.au/options/register-your-right-use-your-design-exclusively,Apply for a design right,Register your right to use your design exclusively,Submit an application to IP Australia to secure exclusive rights that protect the overall appearance that results from visual features applied to a product. ,"""Proactive""","""Design""",$200 to apply,Hours (to apply),"Approx 8,000 designs are registered by IP Australia each year",Government Service
B1009,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-granted-patent-0,Patent Re-Examination ,Challenge a granted patent ,Challenge the validity of a patent that you are accused of infringing. ,"""Accused""","""Patent""","$800, plus any legal fees",Days (to request),<1% of patents are subject to re-examination,Government Service
B1010,https://ipfirstresponse.ipaustralia.gov.au/options/report-scam-fraud-or-risk-public-interest,Report criminal activities ,"Report a scam, fraud or risk to public interest","Notify authorities about scams, counterfeits, or fraudulent activities that pose a risk to public safety or trust.","""Accused""","""Any dispute""",Free,Varibale,IP crimes are rarely prosecuted,Government Service
B1012,https://ipfirstresponse.ipaustralia.gov.au/options/de-escalate-and-resolve-disputes-conversation,Informal contact,De-escalate and resolve disputes via conversation,Engage in an informal conversation to resolve IP disputes,"""Accused""","""Any dispute""",Free,  Days to weeks,Variable,Self-Help Strategy
B1013,https://ipfirstresponse.ipaustralia.gov.au/options/respond-unjustified-threat,Court,Respond to an unjustified threat ,Use the court to respond to a legally unjustified demand or threat ,"""Accused""","""Any dispute""", $100k+ in legal fees,Years,Court decisions are binding although appeal is possible,Non-Government Third-Party Authority
D1018,https://ipfirstresponse.ipaustralia.gov.au/options/court-patents,Court - Patent,"Seek binding, authoritative decisions",Escalate a wide range of patent matters to court,"""Enforcement""","""Patent""", $100k+ in legal fees,Years,Court decisions are binding although appeal is possible,Non-Government Third-Party Authority
D1016,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-registration-new-trade-mark-0,Opposition process,Challenge the registration of a new trade mark,Initiate a trade mark opposition process against a new trade mark with IP Australia,"""Enforcement""","""Trade mark"", ""Unregistered-tm""","$650+, plus legal fees",Months to years,1-3% of trade marks are opposed,Government Service
C1003,https://ipfirstresponse.ipaustralia.gov.au/options/identify-and-track-patents-and-activity-your-competitors,Monitor competitors' IP,Identify and track your competitors' patents and activity,Monitor your competitors' activity to anticipate conflicts or opportunities.,"""Proactive""","""Patents""","Free, plus optional professional fees",Hours to days,Not applicable,Self-Help Strategy
C1002,https://ipfirstresponse.ipaustralia.gov.au/options/detect-and-discourage-potential-infringement-your-supply-chain,Monitor supply chain,Detect and discourage potential infringement in your supply chain,Ensure your partners and suppliers are not unintentionally exposing you to IP risk through unlicensed or counterfeit components.,"""Proactive""","""Patent""",Variable,Days to weeks,Not applicable,Self-Help Strategy
C1004,https://ipfirstresponse.ipaustralia.gov.au/options/use-your-trade-mark-prominently-build-recognition-and-protection,Reinforce your right,Use your trademark prominently to build recognition and protection,"Make strong, visible use of your IP to increase consumer recognition and legal standing.","""Proactive""","""Trade mark"", ""Unregistered-tm""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
