UDID,Headline_Alt,Chunk_ID,Chunk_Token_Count,Chunk_Text,Chunk_Embedding,Chunk_Context_Prepend
E1017,Disagreements about registration,E1017_01,197,"What are the ways to challenge a decision IP Australia has made?
Disagreements about registration
Learn how to challenge IP Australia's decisions effectively with step-by-step guidance on appeals, reviews, and legal options to protect your intellectual property rights.
*This IP First Response website has been designed to help IP rights holders navigate IP infringement and enforcement by making it visible, accessible, and to provide information about the factors involved in pursuing different options. It does not provide legal, business or other professional advice, and none of the content should be regarded as recommending a specific course of action. We welcome any feedback via our* [*IP First Response feedback form*](https://ipaustralia.au1.qualtrics.com/jfe/form/SV_6LKlgPWZqiheCiy) *and by*[*emailing us*](mailto:IPFirstResponse@IPAustralia.gov.au?subject=Feedback%20on%20IP%20First%20Response)*.*",,"What are the ways to challenge a decision IP Australia has made?
Disagreements about registration
Learn how to challenge IP Australia's decisions effectively with step-by-step guidance on appeals, reviews, and legal options to protect your intellectual property rights."
E1017,Disagreements about registration,E1017_02,418,"What are the ways to challenge a decision IP Australia has made?
Disagreements about registration
Learn how to challenge IP Australia's decisions effectively with step-by-step guidance on appeals, reviews, and legal options to protect your intellectual property rights.
### What is it?

If you disagree with an examination decision by IP Australia, there are multiple ways to challenge the decision.  

**Opposition and hearing process within IP Australia** 

You can request a 'hearing' to present your case to a hearing officer at IP Australia. You can choose to be heard on paper through written submissions, or have an oral hearing on the phone, video or in-person. A hearing officer reviews your arguments and evidence and then issues a written decision. 

A hearing keeps the matter within IP Australia and results in a formal decision you can accept or challenge further. 

**Challenging a decision made by IP Australia outside of IP Australia** 

If you prefer a decision outside IP Australia, you can appeal to the Federal Court of Australia (FCA). For some trade marks, designs and plant breeder's rights matters, you can also use the Federal Circuit and Family Court of Australia (FCFCOA, Division 2).  

In some cases, you may seek a 'merits review' by the Administrative Review Tribunal (ART). The Tribunal takes a fresh look at the facts, law and policy and can confirm, change or make a new decision. Patent appeals go to the Federal Court. Court appeals are usually heard *de novo*, meaning the court re-hears the matter and can consider new evidence. 

Another pathway is judicial review under the Administrative Decisions (Judicial Review) Act 1977. Judicial review focuses on whether there was a legal error in how the decision was made; it does not re-hear the facts. 

Which path applies depends on your IP right and the type of decision. Your decision letter usually lists your options, deadlines and how to apply. You may wish to get help from a legal professional who works in IP.",,"What are the ways to challenge a decision IP Australia has made?
Disagreements about registration
Learn how to challenge IP Australia's decisions effectively with step-by-step guidance on appeals, reviews, and legal options to protect your intellectual property rights."
E1017,Disagreements about registration,E1017_03,288,"What are the ways to challenge a decision IP Australia has made?
Disagreements about registration
Learn how to challenge IP Australia's decisions effectively with step-by-step guidance on appeals, reviews, and legal options to protect your intellectual property rights.
### See also

* [Application For A Hearing | IP Australia](https://www.ipaustralia.gov.au/tools-and-research/forms/application-for-a-hearing)
* [Opposition hearings | IP Australia](https://www.ipaustralia.gov.au/manage-my-ip/someone-is-using-my-ip/how-to-challenge-someone-elses-ip/opposition-hearings)
* [Intellectual Property National Practice Area (NPA) - Home page](https://www.fedcourt.gov.au/law-and-practice/national-practice-areas/ip)
* [Intellectual property | Federal Circuit and Family Court of Australia](https://www.fcfcoa.gov.au/gfl/intellectual-property#:~:text=The%20Federal%20Circuit%20and%20Family,Plant%20Breeder%27s%20Rights%20Act%201994).)
* [Homepage | Administrative Review Tribunal](https://www.art.gov.au/)
* [What is judicial review? - Parliamentary Education Office](https://peo.gov.au/understand-our-parliament/your-questions-on-notice/questions/what-is-judicial-review)",,"What are the ways to challenge a decision IP Australia has made?
Disagreements about registration
Learn how to challenge IP Australia's decisions effectively with step-by-step guidance on appeals, reviews, and legal options to protect your intellectual property rights."
E1017,Disagreements about registration,E1017_04,110,"What are the ways to challenge a decision IP Australia has made?
Disagreements about registration
Learn how to challenge IP Australia's decisions effectively with step-by-step guidance on appeals, reviews, and legal options to protect your intellectual property rights.
### Want to give us feedback?

Send us an [email](mailto:ipfirstresponse@ipaustralia.gov.au).\
Fill out our [feedback form](https://ipaustralia.au1.qualtrics.com/jfe/form/SV_6LKlgPWZqiheCiy).",,"What are the ways to challenge a decision IP Australia has made?
Disagreements about registration
Learn how to challenge IP Australia's decisions effectively with step-by-step guidance on appeals, reviews, and legal options to protect your intellectual property rights."
CS1001,Notice of Objection,CS1001_01,1700,"The Toyota story: What can SMEs learn from Toyota’s approach to counterfeit products?
Notice of Objection
What can businesses do to protect themselves against importation of counterfeits that might jeopardise their brand and their products? The story of Toyota provides insight into their use of the ABF notice of objection scheme
*This IP First Response website has been designed to help IP rights holders navigate IP infringement and enforcement by making it visible, accessible, and to provide information about the factors involved in pursuing different options. It does not provide legal, business or other professional advice, and none of the content should be regarded as recommending a specific course of action. We welcome any feedback via our* [*IP First Response feedback form*](https://ipaustralia.au1.qualtrics.com/jfe/form/SV_6LKlgPWZqiheCiy) *and by* [*emailing us*](mailto:IPFirstResponse@IPAustralia.gov.au?subject=Feedback%20on%20IP%20First%20Response)*.*

**The Toyota story:** ***What can SMEs learn from Toyota's approach to counterfeit products?***

![An image comparing a counterfeit auto part and a genuine Toyota brand auto part](/sites/default/files/images/2025-08/Picture3.png)

What can businesses do to protect themselves against importation of counterfeits that might jeopardise their brand and their products? The story of Toyota provides insight into their use of the [Australian Border Force's (ABF) Notice of Objection scheme](https://www.abf.gov.au/help-and-support-subsite/Pages/notices/intellectual-property.aspx#:~:text=A%20Notice%20of%20Objection%20is,a%20valid%20Notice%20of%20Objection.).

The Toyota brand prides itself on having a reputation of quality and reliability among Australian drivers, with its vehicles being a common sight on roads across the country. The company's track record in quality and customer service has helped earn it a loyal customer base, [with a market share of 19.5% in Australia and a new sales record in 2024](https://www.drive.com.au/news/toyota-annual-sales-record-2024-australia/).

However, counterfeit vehicle parts pose a challenge to public safety and to Toyota's brand integrity. According to INTERPOL, counterfeit auto parts--including brake pads, airbags, and filters--are ""[often substandard, causing health problems and injuries, even proving fatal.](https://www.interpol.int/en/Crimes/Illicit-goods/Illicit-goods-the-issues) ""

The infiltration of such parts into the Australian market has far-reaching consequences--undermining consumer trust, jeopardising driver safety, and eroding the standards Toyota strives for. That's why Toyota proactively collaborates with the ABF using one of the options open to brands to combat the circulation of counterfeit products.

**The role of IP in fighting counterfeits**

Intellectual property (IP), particularly trade marks and copyright, plays a critical role for Toyota's in protecting its brand and reputation. The unique Toyota branding, including the word Toyota and its emblem, prevents consumer confusion by ensuring that products bearing the Toyota brand originate from authorised sources and meet Toyota's quality standards. When consumers see the Toyota logo, they know what they are getting.

But when these rights are infringed, the risk extends beyond brand damage. Counterfeit parts that misuse Toyota's branding can deceive consumers and introduce serious safety hazards, particularly when critical components are involved.

IP enforcement is therefore both a commercial and consumer protection priority. It provides the legal basis for identifying and removing fake goods from the market, helping ensure that consumers can have confidence in their purchase of Toyota goods.

**Toyota's use of the Notice of Objection scheme**

![Toyota and ABF officers participating in an IP Enforcement workshop hosted by the ABF (image supplied by the ABF)](/sites/default/files/images/2025-08/workshop.png)

*Toyota and ABF officers participating in an IP Enforcement workshop hosted by the ABF (image supplied by the ABF)*

Toyota's journey in protecting its IP rights begins with the detection of infringements. The company actively gathers intelligence on counterfeit products through a range of channels. One of the major sources of detection information comes from the ABF through its Notice of Objection Scheme.

The scheme allows the ABF to engage Toyota's commercial information to identify counterfeit from legitimate products. Toyota's IP assists the ABF in the identification and seizure of counterfeit goods at the point of import, preventing dangerous and unauthorised products from reaching Australian consumers.

The scheme has been particularly useful for:

* Intercepting counterfeit goods at the border and safeguarding consumers from unauthorised imports falsely marketed as ""Toyota"" products, which can potentially compromise consumer safety and the integrity of their vehicles.
* Understanding unlawful importation trends concerning parts and accessories. Without a Notice of Objection in place, Toyota may not be aware of the existence of these products in the market. For example, through a notice of seizure, Toyota became aware of the importation of counterfeit products such as fake airbags and steering wheels.
* Performing testing on product imitation to analyse counterfeit products and understand risks associated with using fake parts. From time to time, Toyota requests a sample of a fake part from the ABF seizure before they are forfeited for physical verification. This verification process allows Toyota to learn more about these fake parts and compare them side by side with genuine Toyota products.
* Obtaining available information from ABF should Toyota commence a legal action -- Toyota may choose to institute a court proceeding against the importer of counterfeit products when the importer makes a claim for release of seized products. However, Toyota is committed to taking genuine steps to resolve disputes before commencing a legal action.

ABF have consistently demonstrated a high level of expertise in identifying and intercepting unlawful goods, allowing Toyota to detect fake ""Toyota"" parts and accessories before they enter the market. However, as outlined above, the benefits of using the Scheme can go beyond physical interception of counterfeit products, providing additional information about trends in unlawful importation, looks and quality of fake products, and identity of the entities involved.

The insights and evaluations obtained from border seizures further enhance the collaborative efforts of Toyota and ABF to identify and prevent counterfeit products from entering the market. For example, Toyota's Brand Protection team has been a regular participant in IP Enforcement Workshops hosted by the ABF in different ports across the country to provide latest information and training on counterfeit products to ABF officers.

However, counterfeit parts are getting increasingly sophisticated. They can look similar in appearance to the genuine products. In some cases, they are indistinguishable to the naked eye. Therefore, other brand protection strategies and mechanisms are implemented by Toyota to assist with a comprehensive approach to brand protection.

**One tool among many in the IP enforcement portfolio**

![ABF officers inspecting automobile parts in an IP Enforcement workshop hosted by the ABF (image supplied by the ABF)](/sites/default/files/images/2025-08/workshop2.png)

*ABF officers inspecting automobile parts in an IP Enforcement workshop hosted by the ABF (image supplied by the ABF)*

When suspected counterfeit products are seized, both the importer and Toyota are notified of the seizure in writing by the ABF. If the importer makes a claim for release of seized goods within ten working days of notification, Toyota will be notified and will also have ten working days to commence a legal action.

However, Toyota aims to adopt a legal, proportionate, and commercially pragmatic approach to their enforcement of their IP. Their enforcement strategy may include:

* Verifying Toyota's IP rights relevant to the alleged infringement
* Legal assessment of the infringing conduct against the legislative framework
* Engaging in correspondence and negotiation with the infringing party's legal representation.

**Outcome and finalisation**

Toyota's use of the Notice of Objection Scheme shows the way in which businesses can work with the ABF, for a mutually beneficial outcome, to stop counterfeit products entering the Australian market. This mechanism also highlights how IP protection can prevent the circulation of low-quality counterfeit products that might otherwise jeopardise public health and safety.

Toyota's approach also highlights how IP enforcement may involve a range of different options as part of a comprehensive proactive approach to IP.",,"The Toyota story: What can SMEs learn from Toyota’s approach to counterfeit products?
Notice of Objection
What can businesses do to protect themselves against importation of counterfeits that might jeopardise their brand and their products? The story of Toyota provides insight into their use of the ABF notice of objection scheme"
CS1001,Notice of Objection,CS1001_02,126,"The Toyota story: What can SMEs learn from Toyota’s approach to counterfeit products?
Notice of Objection
What can businesses do to protect themselves against importation of counterfeits that might jeopardise their brand and their products? The story of Toyota provides insight into their use of the ABF notice of objection scheme
### Want to give us feedback?

Send us an [email](mailto:ipfirstresponse@ipaustralia.gov.au).\
Fill out our [feedback form](https://ipaustralia.au1.qualtrics.com/jfe/form/SV_6LKlgPWZqiheCiy).",,"The Toyota story: What can SMEs learn from Toyota’s approach to counterfeit products?
Notice of Objection
What can businesses do to protect themselves against importation of counterfeits that might jeopardise their brand and their products? The story of Toyota provides insight into their use of the ABF notice of objection scheme"
C1019,IP STRATEGY ,C1019_01,191,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
*This IP First Response website has been designed to help IP rights holders navigate IP infringement and enforcement by making it visible, accessible, and to provide information about the factors involved in pursuing different options. It does not provide legal, business or other professional advice, and none of the content should be regarded as recommending a specific course of action. We welcome any feedback via our* [*IP First Response feedback form*](https://ipaustralia.au1.qualtrics.com/jfe/form/SV_6LKlgPWZqiheCiy) *and by*[*emailing us*](mailto:IPFirstResponse@IPAustralia.gov.au?subject=Feedback%20on%20IP%20First%20Response)*.*",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
C1019,IP STRATEGY ,C1019_02,355,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
### What is it?

You may consider developing a comprehensive, a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP. An IP strategy brings together your commercial goals with practical actions such as registering key rights, monitoring registries and market competitors' IP, and planning responses should you experience suspected copying in the future. 

By mapping this out early, you may avoid making important decisions under pressure, reduce legal risks and place your business in a stronger position to grow or defend your IP assets. 

An IP strategy can be formal or simple: anything from a one-page checklist to a detailed policy covering multiple types of IP such as patents, trade marks, designs, plant breeders' right and copyright. 

Key elements often include: 

* Identifying what IP assets you already have or intend to create.
* Choosing the best protection tools (e.g. trade mark registration or using non-disclosure agreements and contracts to protect your IP assets).
* Setting reminders for renewals and annual reviews.
* Deciding how you will monitor the market for suspected infringement.
* Outlining who will act and what budget is available if enforcement is needed.

[![Not sure if this applies to your situation? Start with our Navigator Tool](/sites/default/files/images/2026-02/Not%20sure%20button.png)](https://ipfirstresponse.ipaustralia.gov.au/navigator-tool-suspected-infringement?utm_content=NotSure_button_experiment_v1)",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
C1019,IP STRATEGY ,C1019_03,114,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
### What are the benefits?

* Help streamline decision-making if suspected infringement occurs.
* May help you build clear evidence of ownership that deters copycats.
* May help secure investment by demonstrating due diligence on IP.
* May support expansion into new markets or product lines.
* Assist your employees and partners in developing team awareness on how to handle ideas and branding.",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
C1019,IP STRATEGY ,C1019_04,94,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
### What are the risks?

* Plans can become outdated if not reviewed regularly, leaving blind spots.
* Over-protection (for example, filing unnecessary patents) may waste resources.
* Relying on internal resources rather than expert input may create false confidence.",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
